animal,old_id,status,n_units,mask_source,n_pulses,pulse_s,period_s,offset_s,duty_pct,observed_s,spikes_kept,spikes_total,rate_hz,nonzero,neg_pct,median_w,elapsed_s,note
day1,171019,ok,126,DATA171019_ongoing.mat,95,10.0,90.0,45.0,8.7,950.0,161547,2238378,1.349,7604,26.6,0.7259,22.4,
day2,180131,ok,31,DATA180131_ongoing.mat,105,10.0,90.0,45.0,9.7,1050.0,55837,676988,1.715,271,26.9,0.7767,20.3,
day3,180302,ok,47,DATA180302_ongoing.mat,109,10.0,90.0,45.0,10.4,1090.0,84040,964399,1.64,742,29.4,0.7356,13.7,
day4,180419,ok,61,DATA180419_ongoing.mat,109,10.0,90.0,45.0,9.3,1090.0,116914,1535331,1.758,1623,32.9,0.7223,17.4,
day5,180420,ok,71,DATA180420_ongoing.mat,109,10.0,90.0,45.0,9.7,1090.0,106642,1362752,1.378,1635,25.9,0.7882,20.1,
day6,180423,ok,56,DATA180423_ongoing.mat,109,10.0,90.0,45.0,9.8,1090.0,160058,1942698,2.622,1664,38.2,0.5423,43.3,
night1,171207,ok,31,DATA171207_ongoing.mat,105,10.0,90.0,45.0,10.1,1050.0,65235,748756,2.004,476,34.2,0.6168,6.5,
night2,171208,ok,34,DATA171208_ongoing.mat,105,10.0,90.0,45.0,9.6,1050.0,43944,585619,1.231,471,27.0,0.8191,2.8,
night3,171213,ok,33,DATA171213_ongoing.mat,105,10.0,90.0,45.0,9.3,1050.0,20339,276920,0.587,129,14.7,0.7363,1.2,
night4,180110,ok,35,DATA180110_ongoing.mat,105,10.0,90.0,45.0,10.2,1050.0,26891,388943,0.732,350,25.7,0.614,1.3,
night5,180111,ok,24,DATA180111_ongoing.mat,105,10.0,90.0,45.0,9.4,1050.0,34444,406608,1.367,253,28.1,0.7918,1.7,
night6,180221,ok,54,DATA180221_ongoing.mat,109,10.0,90.0,45.0,9.8,1090.0,64167,973259,1.09,413,28.6,0.7726,10.9,
night7,180228,ok,79,DATA180228_ongoing.mat,108,10.0,90.0,45.0,8.0,1080.0,311580,3562230,3.652,4065,40.9,0.5017,261.6,
